element,type,author
"Know Your Numbers. Own Your Health.","headline","Jens"
"The Only Health Calculators You'll Ever Need","headline","Jens"
"From Calories to Due Dates — Your Health Questions, Answered","headline","Jens"
"Science-Backed. Free. Instant.","headline","Jens"
"Get precise, personalized health numbers in seconds — no account, no cost, no guesswork.","value_proposition","Jens"
"One place for every health metric that matters: calories, macros, body fat, sleep, heart rate, pregnancy, and more.","value_proposition","Jens"
"Every calculator is built on peer-reviewed science, so you act on data — not diet-blog myths.","value_proposition","Jens"
"Whether you're losing weight, training harder, or expecting a baby, you get the exact number you need right now.","value_proposition","Jens"
"15+ calculators covering nutrition, fitness, body composition, and reproductive health — all in one place.","proof_point","Jens"
"Every formula is sourced from published clinical research and validated nutrition science.","proof_point","Jens"
"No sign-up required. Results in under 30 seconds.","proof_point","Jens"
"Used across fitness, diet, and pregnancy journeys — from first-time gym-goers to competitive athletes.","proof_point","Jens"
"Calculate My Calories","cta","Jens"
"Find My Healthy Range","cta","Jens"
"Get My Numbers — Free","cta","Jens"
"No app to download. No account to create. Just enter your details and get your results instantly.","objection_handling","Jens"
"Our calculators use the same equations dietitians and sports scientists rely on — not simplified estimates.","objection_handling","Jens"
"All calculators are completely free. We don't charge for accuracy.","objection_handling","Jens"
"Your health, calculated.","tagline","Jens"
"Precision for every body.","tagline","Jens"
"The numbers behind a healthier you.","tagline","Jens"
